,nama_kabupaten_kota,AGRIBISNIS,KULINER,MAKANAN,MINUMAN,OBAT-OBATAN,Telur ayam buras,Telur puyuh,Telur ayam petelur,Aren,Susu Sapi,Pandan,Pinang,Pala,Kopi Robusta,Kopi Arabika,Kina,Kelapa Hibrida,Kayu Manis,Ikan Tuna,Sapi Potong,Kelapa Sawit,Lada,Daging Kerbau,Daging Ayam Buras,Daging Domba,Daging Ayam Petelur,Daging Ayam Pedaging,Daging Kelinci,Daging Kambing,Daging Itik Manila,Daging Itik,Daging Sapi,Daging Puyuh
0,KABUPATEN BANDUNG,0.0,80386.0,58850.0,10910.0,0.0,4228,55,7319,548,71379,0,1.0,0.0,130,7526,0,0,0.0,0.0,575.84,0,0,58,2024,349,357,38397,26,13,28,247,7495.847,6
1,KABUPATEN BEKASI,5.0,52591.0,38470.5,7136.0,0.0,352,0,2832,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,17,643,512,100,8763,0,282,0,184,1680.492,0
2,KABUPATEN BOGOR,11.0,85341.0,62452.5,11583.0,0.0,4233,142,231900,685,22542,0,0.0,543.0,4004,473,0,22,0.0,0.0,0.0,43183,1,243,2027,805,8280,170479,0,371,104,104,9908.119,15
3,KABUPATEN CIAMIS,0.0,31817.5,23295.5,4317.0,0.0,3218,108,43209,329,177,0,0.0,24.0,936,15,0,0,0.0,0.0,104.78,0,56,62,1541,218,2107,23537,7,173,0,137,1219.172,12
4,KABUPATEN CIANJUR,16.0,57063.0,41776.5,7752.0,4.0,10406,52,67298,18873,4827,0,0.0,81.0,160,227,4,384,0.0,0.0,169.62,10414,16,108,4983,751,3282,55239,20,72,0,617,2229.888,6
5,KABUPATEN CIREBON,14.0,57486.0,42086.0,7802.5,1.0,2901,50,1290,0,421,0,0.0,0.0,0,0,0,0,0.0,0.0,341.24,0,0,7,1389,1662,63,24903,4,78,141,455,4371.888,5
6,KABUPATEN GARUT,7.0,58970.5,43161.0,8002.5,0.0,5494,0,36311,16168,18650,0,1.0,7.0,724,2320,8,0,4.0,0.0,63.2,0,16,44,8731,31,4366,31142,0,327,0,44,731.36,0
7,KABUPATEN INDRAMAYU,8.0,43480.5,31812.5,5902.0,0.0,3999,29,991,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,179.58,0,0,2,1915,360,48,36687,2,165,507,1795,2117.055,3
8,KABUPATEN KARAWANG,1.0,53162.0,38907.5,7219.5,1.0,1184,3,1375,0,20,0,0.0,0.0,222,0,0,0,0.0,0.0,240.24,0,2,39,434,118,72,71539,0,18,0,1,1242.58,0
9,KABUPATEN KUNINGAN,1.0,21625.0,15818.5,2936.0,0.0,1133,251,28631,1440,19263,0,0.24,14.0,999,6,0,0,0.0,0.0,131.42,0,8,0,542,1348,1396,26297,6,35,2,54,1562.949,27
10,KABUPATEN MAJALENGKA,10.0,35715.5,26142.5,4846.0,0.0,2253,0,7160,1078,1748,0,0.0,7.0,223,42,4,0,0.0,0.0,193.96,0,89,18,1079,1745,349,23838,0,127,105,146,2272.862,0
11,KABUPATEN PURWAKARTA,18.0,19862.0,14523.5,2701.5,0.0,3200,0,16427,1308,50,0,0.0,49.0,187,0,0,0,0.0,0.0,120.02,0,25,9,1532,14730,801,66991,0,204,0,969,1537.769,0
12,KABUPATEN SUBANG,9.0,38637.5,28278.5,5244.0,1.0,3553,18,1271,120,14243,0,33.0,1.0,426,121,0,0,0.0,0.0,111.82,13420,38,5,1533,1678,36,58905,6,158,29,447,1272.156,2
13,KABUPATEN SUKABUMI,11.0,61213.0,44795.0,8307.5,0.0,868,301,62252,5609,7387,0,4.0,392.0,0,271,0,0,0.0,1440.0,0.0,58438,34,94,901,1835,1610,46698,0,28,74,62,1876.851,6
14,KABUPATEN SUMEDANG,3.0,26481.5,19361.0,3587.5,0.0,1315,17,10366,1386,9219,0,0.0,0.0,266,722,0,72,0.0,0.0,134.22,0,182,1,629,175,505,20683,7,7,11,64,1561.65,2
15,KOTA BANDUNG,0.0,78338.5,57227.0,10617.5,1.0,75,0,34,0,1596,0,0.0,0.0,0,0,0,0,0.0,0.0,694.64,0,0,0,36,438,2,1180,0,0,0,2,9002.468,0
16,KOTA BANJAR,2.0,5915.0,4326.5,804.5,1.0,69,24,701,129,0,0,0.0,0.0,6,0,0,0,0.0,0.0,55.0,0,9,0,71,10,34,5010,0,6,1,8,710.283,3
17,KOTA BEKASI,4.0,46200.0,33807.0,6272.0,0.0,276,0,1794,0,172,0,0.0,0.0,0,0,0,0,0.0,0.0,258.9,0,0,9,132,2915,87,2604,0,3325,0,15,3249.839,0
18,KOTA BOGOR,0.0,19657.0,14397.5,2670.0,0.0,175,2,82,0,2811,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,3,84,92,4,1422,0,5,2,1,4312.524,0
19,KOTA CIMAHI,0.0,12973.0,9502.5,1756.5,1.0,32,1,0,0,1374,0,0.0,0.0,0,0,0,0,0.0,0.0,43.6,0,0,2,15,267,0,303,0,0,1,2,507.286,0
20,KOTA CIREBON,1.0,9151.0,6766.5,1248.0,1.0,106,7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,50.42,0,0,0,51,168,0,0,0,48,2,3,617.544,1
21,KOTA DEPOK,0.0,36990.0,27028.5,5012.5,0.0,49,0,2292,0,1260,0,0.0,0.0,0,0,0,0,0.0,0.0,556.5,0,0,32,24,140,112,3607,0,172,0,23,7359.351,0
22,KOTA SUKABUMI,5.0,9109.0,6693.0,1239.0,0.0,153,87,6528,0,232,0,0.0,0.39,0,0,0,0,0.0,0.0,124.84,0,0,2,73,636,318,3828,0,39,0,4,1601.432,10
23,KOTA TASIKMALAYA,2.0,20746.0,15187.0,2817.0,2.0,1568,51,2599,15,513,0,2.0,2.0,5,0,0,0,0.0,0.0,273.86,0,5,0,675,20,69,3705,0,12,0,29,3659.518,6
